Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1749172356;3;3
0xfe;2;6;1749172366;3;3
0xfe;1;6;1749172376;3;3
0xfe;2;6;1749172386;3;3
0xfe;1;6;1749172396;3;3
0xfe;2;6;1749172406;3;3
0xfe;1;6;1749172416;3;3
0xfe;2;6;1749172426;3;3
0xfe;1;6;1749172436;3;3
0xfe;2;6;1749172446;3;3
0xfe;1;6;1749172456;3;3
0xfe;2;6;1749172466;3;3
0xfe;1;6;1749172476;3;3
0xfe;2;6;1749172486;3;3
0xfe;1;6;1749172496;3;3
0xfe;2;6;1749172506;3;3
0xfe;1;6;1749172516;3;3
0xfe;2;6;1749172526;3;3
0xfe;1;6;1749172536;3;3
0xfe;2;6;1749172546;3;3
0xfe;1;6;1749172556;3;3
0xfe;2;6;1749172566;3;3
0xfe;1;6;1749172576;3;3
0xfe;2;6;1749172586;3;3
0xfe;1;6;1749172596;3;3
0xfe;2;6;1749172606;3;3
0xfe;1;6;1749172616;3;3
0xfe;2;6;1749172626;3;3
0xfe;1;6;1749172636;3;3
0xfe;2;6;1749172646;3;3
