Header byte (0xfe);Saw Event Type (1 Insertion - 2 Extraction);RFID Station ID [1..9];Timestamp 8bytes;KH Type [1..3];KH Unique ID [1..5]
0xfe;1;6;1754596356;3;3
0xfe;2;6;1754596366;3;3
0xfe;1;6;1754596376;3;3
0xfe;2;6;1754596386;3;3
0xfe;1;6;1754596396;3;3
0xfe;2;6;1754596406;3;3
0xfe;1;6;1754596416;3;3
0xfe;2;6;1754596426;3;3
0xfe;1;6;1754596436;3;3
0xfe;2;6;1754596446;3;3
0xfe;1;6;1754596456;3;3
0xfe;2;6;1754596466;3;3
0xfe;1;6;1754596476;3;3
0xfe;2;6;1754596486;3;3
0xfe;1;6;1754596496;3;3
0xfe;2;6;1754596506;3;3
0xfe;1;6;1754596516;3;3
0xfe;2;6;1754596526;3;3
0xfe;1;6;1754596536;3;3
0xfe;2;6;1754596546;3;3
0xfe;1;6;1754596556;3;3
0xfe;2;6;1754596566;3;3
0xfe;1;6;1754596576;3;3
0xfe;2;6;1754596586;3;3
0xfe;1;6;1754596596;3;3
0xfe;2;6;1754596606;3;3
0xfe;1;6;1754596616;3;3
0xfe;2;6;1754596626;3;3
0xfe;1;6;1754596636;3;3
0xfe;2;6;1754596646;3;3
